Customer_ID,Product
K396880,01
K237190,01
K276100,01
K219740,01
K365110,01
K357280,01
K353360,01
K351390,01
K350300,01
K349760,01
K187030,01
K170580,01
K137380,01
K102600,01
K120350,01
K170280,01
K111800,01
K153420,01
K178340,01
K171180,01
K107260,01
K137100,01
K174250,01
K136920,01
K172260,01
K349720,01
K349630,01
K145480,01
K105270,01
K137960,01
K349600,01
K120090,01
K204060,01
K349710,01
K349640,01
K119950,01
K141200,01
K349700,01
K139020,01
K349680,01
K350290,01
K349890,01
K349790,01
K170160,01
K104150,01
K128340,01
K349770,01
K120820,01
K170260,01
K349860,01
K349800,01
K111500,01
K170150,01
K349850,01
K170130,01
K349810,01
K350260,01
K349990,01
K170230,01
K111340,01
K170170,01
K349950,01
K124050,01
K349930,01
K350150,01
K350040,01
K121990,01
K170200,01
K350130,01
K170190,01
K350060,01
K351370,01
K350850,01
K350510,01
K350350,01
K170310,01
K103720,01
K136990,01
K170550,01
K119940,01
K170410,01
K350490,01
K350370,01
K112350,01
K170290,01
K350410,01
K137090,01
K350380,01
K350820,01
K350620,01
K170400,01
K106930,01
K170320,01
K350590,01
K136970,01
K350580,01
K350790,01
K350690,01
K136930,01
K170380,01
K350730,01
K170340,01
K350710,01
K351330,01
K351030,01
K350910,01
K170460,01
K106790,01
K137070,01
K350880,01
K137010,01
K170520,01
K351020,01
K350960,01
K115580,01
K170440,01
K351000,01
K170420,01
K350980,01
K351260,01
K351120,01
K170510,01
K113390,01
K170470,01
K351110,01
K137040,01
K351050,01
K351210,01
K351160,01
K137020,01
K170500,01
K351180,01
K170490,01
K351170,01
K353300,01
K352260,01
K351800,01
K351550,01
K171160,01
K170590,01
K103090,01
K137130,01
K170860,01
K120000,01
K170710,01
K351530,01
K351430,01
K111320,01
K137370,01
K351510,01
K137240,01
K351440,01
K351780,01
K351610,01
K170690,01
K107880,01
K170600,01
K351580,01
K137110,01
K351570,01
K351770,01
K351710,01
K120080,01
K170630,01
K351750,01
K170610,01
K351730,01
K352250,01
K351940,01
K351860,01
K170800,01
K104940,01
K137230,01
K351820,01
K137170,01
K170850,01
K351930,01
K351880,01
K119980,01
K170740,01
K351900,01
K170730,01
K351890,01
K352170,01
K352000,01
K170840,01
K119970,01
K170810,01
K351970,01
K137200,01
K351950,01
K352150,01
K352030,01
K137190,01
K170830,01
K352110,01
K170820,01
K352100,01
K353270,01
K352830,01
K352510,01
K352290,01
K170890,01
K104720,01
K137300,01
K171150,01
K120070,01
K170990,01
K352450,01
K352340,01
K120020,01
K170870,01
K352400,01
K137360,01
K352380,01
K352820,01
K352640,01
K170970,01
K111290,01
K170900,01
K352630,01
K137280,01
K352600,01
K352800,01
K352670,01
K137260,01
K170950,01
K352770,01
K170920,01
K352730,01
K353250,01
K352970,01
K352850,01
K171040,01
K108950,01
K137350,01
K352840,01
K137310,01
K171120,01
K352960,01
K352880,01
K120050,01
K171020,01
K352930,01
K171000,01
K352920,01
K353210,01
K353070,01
K171100,01
K120040,01
K171050,01
K353030,01
K137330,01
K353000,01
K353180,01
K353090,01
K137320,01
K171090,01
K353170,01
K171080,01
K353150,01
K357270,01
K355150,01
K354150,01
K353700,01
K353540,01
K171650,01
K137940,01
K102830,01
K137390,01
K171390,01
K120110,01
K171250,01
K353530,01
K172230,01
K111390,01
K137630,01
K353480,01
K137500,01
K353440,01
K353680,01
K353590,01
K171240,01
K106780,01
K171190,01
K353580,01
K120340,01
K353560,01
K353640,01
K353600,01
K120170,01
K171230,01
K353630,01
K171220,01
K353610,01
K354070,01
K353840,01
K353740,01
K171320,01
K105760,01
K137490,01
K353720,01
K137400,01
K171380,01
K353810,01
K353760,01
K120100,01
K171300,01
K353800,01
